id,name,price,image,category,description,nutrients,calories,healthBenefits,tags
1,Red Apple,₹120/kg,https://upload.wikimedia.org/wikipedia/commons/1/15/Red_Apple.jpg,Fruit,Juicy red apples rich in antioxidants and natural sweetness.,Vitamin C;Fiber;Antioxidants,52 kcal per 100g,Supports heart health;boosts immunity;improves digestion.,Diabetic Friendly;Best for Snack
2,Banana,₹50/dozen,https://upload.wikimedia.org/wikipedia/commons/8/8a/Banana-Single.jpg,Fruit,Fresh bananas perfect for energy and digestion.,Potassium;Vitamin B6;Fiber,89 kcal per 100g,Regulates blood pressure;provides energy;supports digestion.,Energy Booster;Kid Friendly
3,Carrot,₹40/kg,https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y2Fycm90fGVufDB8fDB8fHww,Vegetable,Crisp orange carrots packed with beta-carotene and fiber.,Beta-Carotene;Vitamin A;Fiber,41 kcal per 100g,Improves vision;supports skin health.,Best for Juice;Vision Booster
4,Broccoli,₹90/kg,https://upload.wikimedia.org/wikipedia/commons/0/03/Broccoli_and_cross_section_edit.jpg,Vegetable,Nutrient-rich green broccoli florets.,Vitamin C;Vitamin K;Folate,34 kcal per 100g,Detoxifies body;strengthens bones.,Detox;Bone Health
5,Strawberry,₹180/kg,https://upload.wikimedia.org/wikipedia/commons/2/29/PerfectStrawberry.jpg,Fruit,Sweet and juicy strawberries rich in antioxidants.,Vitamin C;Manganese;Fiber,33 kcal per 100g,Improves skin;reduces inflammation.,Skin Friendly;Antioxidant Rich
6,Spinach,₹30/bundle,https://upload.wikimedia.org/wikipedia/commons/0/08/Spinach_leaves.jpg,Vegetable,Leafy green spinach loaded with iron and vitamins.,Iron;Vitamin K;Magnesium,23 kcal per 100g,Boosts hemoglobin;strengthens immunity.,Iron Rich;Leafy Green
7,Orange,₹60/kg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Orange-Fruit-Pieces.jpg,Fruit,Citrus fruit rich in Vitamin C and flavor.,Vitamin C;Calcium;Fiber,47 kcal per 100g,Boosts immunity;reduces fatigue.,Immunity Booster;Juicy
8,Grapes,₹100/kg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Table_grapes_on_white.jpg,Fruit,Sweet grapes loaded with antioxidants.,Resveratrol;Vitamin C;Potassium,69 kcal per 100g,Improves heart health;fights aging.,Heart Healthy;Snack Friendly
9,Cucumber,₹25/each,https://upload.wikimedia.org/wikipedia/commons/9/96/Cucumis_sativus_-_Long_cucumber.jpg,Vegetable,Cool and refreshing cucumbers.,Water;Vitamin K;Potassium,16 kcal per 100g,Hydrates body;good for skin.,Hydrating;Salad Ready
10,Mango,₹150/kg,https://upload.wikimedia.org/wikipedia/commons/9/90/Hapus_Mango.jpg,Fruit,Delicious tropical mangoes.,Vitamin A;Vitamin C;Beta-Carotene,60 kcal per 100g,Improves eye health;boosts immunity.,Seasonal;Sweet Treat
11,Pineapple,₹80/kg,https://upload.wikimedia.org/wikipedia/commons/c/cb/Pineapple_and_cross_section.jpg,Fruit,Tangy and tropical pineapple.,Vitamin C;Bromelain;Manganese,50 kcal per 100g,Aids digestion;fights inflammation.,Digestive Aid;Tropical
12,Tomato,₹30/kg,https://upload.wikimedia.org/wikipedia/commons/8/88/Bright_red_tomato_and_cross_section02.jpg,Vegetable,Red and juicy tomatoes.,Lycopene;Vitamin C;Potassium,18 kcal per 100g,Good for skin;fights cancer.,Salad Favorite;Lycopene Rich
